Sl.no,School Code,School Name,Strength
44,11040302013,TOUCH WOOD ACADEMY,4452
45,11040305504,ANNES HOUSE,4530
46,11040300808,ANNES HOUSE NUSERY,4159
47,11040300815,DAFFODILS' HOME,4207
48,11040304204,HAPPY HOURS (PVT),4174
49,11040304206,INDRIA GHANDHI,4401
50,11040300817,KIDDIES CORNER,4947
51,11040300812,KYI-DE-KHANG SEC.SCHOOL,4382
52,11040300805,LITTLE ANGELS ACADEMY,4758
53,11040314901,MANJUSRI CITY (PUBLIC) SCHOOL,4201
54,11040316001,MARIGOLD ACADEMY,4847
55,11040315601,PALKHANG ACADEMY,4674
56,11040302302,PRASHANT VIDYA MANDIR SS(PVT),4465
57,11040300907,ST. JOHN'S JHS SCHOOL,4820
58,11040300810,ST. THOMAS SCHOOL,4806
59,11040300816,WREN'S PUBLIC SCHOOL,4854
60,11040305503,ENLIGHTEN ACADEMY,4528
61,11040305702,KIDS WORLD (PVT),4241
62,11040305802,MAYAL ENG SCHOOL (PVT),4842
63,11040305502,NORTH POINT SCHOOL,4064
64,11040305805,PARADISE ACADEMY,4301
65,11040305804,RAINDOW PRY (PVT),4671
66,11040305706,TAKTSE INTERNATIONAL SCHOOL,4382
67,11040603202,ANSHU ACADEMY,4371
68,11040604802,BETHESDA ACADEMY (PVT),4437
69,11040604502,BRIGHT LIFE ACADEMY,4808
70,11040604902,GREEN FILED ACADEMY (PVT),4965
71,11040603102,ST. THOMAS SCHOOL,4839
72,11040601604,ADARSH VIDHYA MANDIR,4179
73,11040602608,ARCHIGOS PREPARATORY ACADEMY,4678
74,11040601102,BAPTIST ENG . SCHOOL (PVT),4766
75,11040602001,EAST POINT SS (PVT),4851
76,11040601402,GOD WIN ENG SCHOOL (PVT),4998
77,11040603801,KING GEORGE ACADEMY,4994
78,11040602604,NEW GARDEN BDG. SCHOOL,4183
79,11040601103,NIM VALLEY SCHOOL,4907
80,11040602602,P.NM SCHOOL (PVT),4684
81,11040602605,RADIANT STARS ACADEMY,4175
82,11040601202,REHMA ENGLISH SCHOOL,4109
83,11040602607,SIGALILA ACADEMY,4417
84,11040602502,TRUE LIGHT ACADEMY,4131
85,11041000803,"BAHA'I SCHOOL, SARAMSA",4167
86,11041000802,CANAAN SCHOOL,4778
87,11041000808,HIMALAYAN ACADEMY,4078
88,11041000801,INDRAKIL SARASWATI VIDHALAYA,4563
89,11041000805,SARASWATI VIDYA NIKETAN,4237
90,11041000103,SUNMARG ACADEMY,4807
91,11041000806,TINY PEARLS SCHOOL,4795
92,11041002001,CHILDRENS WORLD ACADEMY (PVT,4397
93,11041002002,MINI LAND PUBLIC SCHOOL,4502
94,11041002101,ST. JOSHEP SS,4052
95,11040100105,LITTLE ANGEL ENGLISH SCHOOL,4579
96,11040103302,LITTLE ANGEL SCHOOL,4164
97,11040100103,SARASWATI SISHU VIDYALAYA,4944
98,11040100802,ST JOHN ENGLISH SCHOOL,4383
99,11040102508,ANNIE'S HOME,4500
100,11040102509,CANARY BIRD ACADEMY,4658
101,11040102504,PUSHPANJALI VIDHALAYA,4709
102,11040100702,SAI GURUKUL ACADEMY,4120
103,11040100202,SARASWATI VIDYA NIKETAN,4686
104,11040102903,SPLENDOUR ACADEMY,4143
105,11040102503,ST. XAVIER (PVT),4804
106,11040100402,ST.STEVEN'S SCHOOL,4086
107,11040100403,VENUS ACADEMY,4321
108,11040100902,WISDOM LAKE,4534
109,11040101403,HANSAVAHINI SISHU MANDIR AMBA,4879
110,11040101002,PHUSPANJALI VIDHALAYA,4831
111,11040100302,VENUS ACADEMY,4094
112,11041100104,GREEN VALE ACADEMY,4644
113,11041100202,Rainbow Academy,4309
114,11041100502,Bethal Pvt. School,4915
115,11040701902,CHILDREN PREPARATORY (PVT,4176
116,11040700804,RISING STAR (PVT),4184
117,11040700602,SPRINGDALE SCHOOL (PVT),4522
118,11040700802,SUNRISE BOARDING SCHOOL (PVT),4256
119,11040700604,TISTA MODEL ACADEMY,4913
120,11040700204,DIAMOND ENG SCHOOL (PVT),4957
121,11040700404,ENGLIGHTENED ACADEMY,4248
122,11040700302,GYAN KUNJA (PVT),4158
123,11040700403,SARASWATI VIDYA NIKETAN,4882
124,11040701404,SARASWATI VIDYA NIKETAN,4331
125,11040900803,AMBIKA DAHAL MEM. SCHOOL (PVT),4664
126,11040901203,GRACE ACADEMY,4581
127,11040901601,INDIRA MEMORIAL ACADEMY,4484
128,11040901202,NAV YUG PUBLIC SCHOOL,4176
129,11040901102,STAR LIGHT ACADEMY,4794
130,11040900105,BLOOSOM (PVT),4434
131,11040900110,KARMA DHARMA CHAKRA UPS,4248
132,11040902001,MAYAL KATEN NAMGYALLING ACADEMY SCHOOL,4968
133,11040900106,PIONEER PREPARATORY SCHOOL,4079
134,11040400107,DOLPHIN ACADEMY,4511
135,11040400104,GREAT HEIGHT ACADEMY,4131
136,11040401502,RAINBOW ACADEMY (PVT),4048
137,11040400108,ST MARY SCHOOL,4577
138,11040400602,RISING NURSERY ACADEMY (PVT),4682
139,11040400605,SARASWATI SISHU VIDYALA,4006
140,11040404004,SARASWATI VIDYA NIKETAN,4679
141,11040404005,ST JOSEPH SCHOOL,4381
142,11040401002,BOSKO ENG SCHOOL (PVT),4183
143,11040400205,GOOD STAR ENG SCHOOL,4986
144,11040401803,PEMA TSEL ACADEMY,4798
145,11040400204,SARASWATI SISHU MANDIR,4876
146,11040402202,LITTLE STARS ACADEMY,4404
147,11040400209,RIVERINE ELEMENTRY SCHOOL,4255
148,11040400203,SUNRISE MODEL,4883
149,11040400208,VIDYA BHARATI SCHOOL,4913
150,11040506802,BAHAI SCHOOL (PVT),4272
151,11040500803,BLOOMING BUDS ACADEMY,4535
152,11040501303,EVERSHINE ACADEMY,4457
153,11040500104,DONALD MEMORIAL ACADEMY (PVT,4643
154,11040500302,SEVENTH-DAY ADVANTIST MISSION SCHOOL,4506
155,11010200303,MOON LIGHT SCHOOL,4075
156,11010200304,MT. EVEREST SCHOOL,4817
157,11010300202,GREENVALE ACADEMY,4737
158,11010300203,KANCHANJUNGA ACADEMY,4930
159,11010301001,NORTHWAY ACADEMY,4835
160,11010302501,JUBILANT PVT SCHOOL,4909
161,11010102008,IDEAL NURSURY SCHOOL,4836
162,11010102011,LITTLE FLOWER NURSERY (PRY),4278
163,11010102009,MANGAN PUBLIC SCHOOL,4959
164,11010102102,NORTH SIKKIM ACADEMY,4613
165,11010102007,PLAY AND LEARN NURSERY SCHOOL,4876
166,11010102006,ST. JOSEPH,4951
167,11010102702,KID FOUNDATION ENGLISH SCHOOL,4887
168,11010102503,MARIGOLD PRIVATE SCHOOL,4285
169,11010100105,ST. JOSEPH'S,4833
170,11010102104,LITTLE FLOWER NURSERY SCHOOL,4316
171,11010100301,ZENITH PUBLIC SCHOOL,4049
172,11010404002,REPBOM ENGLISH ACADEMY,4132
173,11010403303,MOUNT PANDIM PRESTINE ACADEMY,4033
174,11010402601,CHILDREN'S WORLD ACADEMY,4576
175,11010401702,MAYAL LYANG ACADEMY,4668
176,11030400802,HIMALAYAN GRACE ACADEMY,4807
177,11030401602,LITTLE ANGELS' ACADEMY,4558
178,11030401502,MT. OLIVE ACADEMY,4894
179,11030401501,NABIL`S MEMORIAL SECONDARY SCHOOL,4488
180,11030401601,NEW BUDS ACADEMY,4604
181,11030400403,PRASHANTI VIDYA GIRI,4763
182,11030401103,ROYAL ACADEMY,4769
183,11030400402,ST. FRANCIS` SCHOOL,4435
184,11030401104,VICTORY ACADEMY,4663
185,11030401101,BAPTIST ENGLISH SCHOOL,4059
186,11030401105,EVERSHINE ACADEMY,4993
187,11030400302,HEBRON ACADEMY,4912
188,11030400404,VISION ACADEMY,4404
189,11030108702,ST THOMAS SCHOOL,4566
190,11030102703,AROMA ACADEMY,4377
191,11030102704,GRACE ACADEMY,4492
192,11030103302,RANGUTHANG HEDH-ZI-BAH,4305
193,11030102702,TENDER BUDS PRIVATE SCHOOL,4670
194,11030114802,BETHANY EDUCATIONAL INSTITUTIO,4121
195,11030116203,FUTURE BRIGHTER ACADEMY,4090
196,11030110403,ST MARY'S SCHOOL,4269
197,11030109102,MODERN ACADEMY,4596
198,11030117201,ST.TERESA'S SCHOOL,4366
199,11030110902,BETHAL ACADEMY,4903
200,11030113604,BETHANY SCHOOL,4037
201,11030104705,DEFFODIL'S ACADEMY,4753
202,11030116401,EBENEZER ACADEMY,4718
203,11030104706,ENLIGHTEN EDU.INST.,4004
204,11030114602,EVERSHINE ACADEMY,4903
205,11030113605,GREENFINCH SCHOOL,4233
206,11030113606,J M K MEMORIAL SCHOOL,4134
207,11030111402,KINCHIN CASTLE ACADEMY,4417
208,11030111502,LORD JESUS SCHOOL,4935
209,11030116402,MANJUSHREE ACADEMY,4841
210,11030113601,MOUNT CARMEL,4690
211,11030113602,NAMCHI PUBLIC SCHOOL,4721
212,11030113502,NEW LIGHT ACADEMY,4775
213,11030113501,NEW LIGHT ACADEMY,4391
214,11030119201,PARAMOUNT ACADEMY,4883
215,11030111403,SEVEN HILLS SCHOOL,4971
216,11030113202,SHALOM ACADEMY,4990
217,11030111104,SOUTHERN LIGHTS ACADEMY,4785
218,11030103304,ST.TERESA'S SCHOOL,4624
219,11030113603,SUNSHINE ACADEMY,4753
220,11030113301,TENDONG EDUCATIONAL INSTITUTE,4582
221,11030113201,TINY TOTS PS,4546
222,11030603003,HOSSANA ENGLISH SCHOOL,4177
223,11030602802,LITTLE ANGEL ACADEMY,4845
224,11030600502,LITTLE BUD,4885
225,11030603002,MOTHER TERESA MEMORIAL,4567
226,11030600603,MOTHER TERESA MEMORIAL SCHOOL,4125
227,11030600605,SHINING STAR ACADEMY,4637
228,11030602806,TINY BUDS ACADEMY,4058
229,11030601002,HIMALAYAN SARASWATI VIDYALAYA,4680
230,11030600102,NEW STEPS ACADEMY,4328
231,11030601005,PRATIVA ACADEMY ENGLISH SCHOOL,4143
232,11030602103,AGAM SINGH ACADEMY,4527
233,11030602002,GREEN FIELD JUNIOR HIGH SCHOOL,4034
234,11030601003,GYAN PRADAN ACADEMY,4225
235,11030601402,IVANA MEMORIAL SCHOOL,4383
236,11030600604,SOUTH POINT ACADEMY,4674
237,11030603301,ST PAUL SCHOOL,4674
238,11030601104,ST.LUTHER ENGLISH BOARDING SCHOOL,4278
239,11030601103,ST.XAVIERS SCHOOL,4585
240,11030602003,WISDOM VALLEY ACADEMY,4562
241,11030600303,FUTURE STAR ACADEMY,4034
242,11030601102,SHUBHASAI INSTITUTE OF ELEMENTARY EDUCATION,4839
243,11030201703,SANGAM ACADEMY,4854
244,11030204702,DEMAZONG ENGLISH ACADEMY,4508
245,11030207202,NEW RAYS ACADEMY,4480
246,11030205003,HOLY FAITH ENGLISH SCHOOL,4801
247,11030205004,IDEAL ACADEMY,4673
248,11030207901,"MT,PANDIM ACADEMY",4851
249,11030204403,PEMA SAMPHEL ACADEMY,4492
250,11030207802,GENERATION NEXT ACADEMY,4733
251,11030206905,LITTLE SCHOLRS ACADEMY,4580
252,11030206904,SOUTH POINT ACADEMY,4230
253,11030206902,ST.JOSEPH SCHOOL,4282
254,11030500602,SHARON VALLEY SCHOOL,4037
255,11030801503,GREEN HILL ACADEMY,4074
256,11030801403,LIGHT OF LIFE ACADEMY,4220
257,11030801702,SOUTH PIONT ACADEMY,4800
258,11030801404,ST. THOMAS SCHOOL,4248
259,11030801502,ST.PAUL JHS,4189
260,11030801402,SUN SHINE ENGLISH SCHOOL,4479
261,11030800302,GRACE ENGLISH SCHOOL,4525
262,11030800103,LORETO CONVENT SCHOOL,4534
263,11030800105,STERLINE ACADEMY,4014
264,11030802502,ANUGRAH PS MANPUR,4770
265,11030800403,EUREKA ENGLISH SCHOOL,4472
266,11030800405,MATRI ACADEMY,4972
267,11030800603,ST STEPHEN'S SCHOOL,4563
268,11030800406,ST.PETER ENGLISH SCHOOL,4191
269,11030802402,ANGLES ENGLISH SCHOOL,4998
270,11030802403,MOUNT CARMEL SCHOOL,4627
271,11030802404,PRASANSHA ENGLISH SCHOOL,4924
272,11030302505,SARASWATI SISHU VIDYALAYA,4282
273,11030300603,BRIGHT LIFE ENGLISH SCHOOL,4754
274,11030300602,MOUNT OLIVES ACADEMY,4060
275,11030301102,LITTLE ANGELS ACADEMY,4791
276,11030300703,PRATIVA ACADEMY,4496
277,11030300704,SARASWATI SHISHU VIDYALAYA,4561
278,11030302401,SARASWATI SISHU VIDHLAYA,4734
279,11030300702,SUNSHINE ACADEMY,4571
280,11030301302,EDEN GARDEN,4138
281,11030301804,HIMALAYAN SCHOOL,4176
282,11030301803,JUVENTUS ACADEMY,4928
283,11030301603,KALIKA SANSKRIT VIDHYALAYA,4898
284,11030302002,MANJUSRI PUBLIC SCHOOL,4957
285,11030301902,PARAMOUNT E.SCHOOL,4210
286,11030302301,SAIPARTI VIDYA MANDIR,4321
287,11030702002,ST PETERS SCHOOL,4980
288,11030701603,GREENVALE ACADEMY,4727
289,11030701703,EAST POINT ENGLISH SCHOOL,4414
290,11030700104,EAST POINT SCHOOL,4201
291,11030700105,MAINUM NURSERY SCHOOL,4941
292,11030700103,SOUTH POINT ACADEMY,4551
293,11020700202,CAROL ACADEMY,4982
294,11020700107,EUREKA RESIDENTIAL SCHOOL,4061
295,11020700106,EVERGREEN ENGLISH SCHOOL,4614
296,11020700204,HIMALAYAN ENGLISH ACADEMY,4549
297,11020700203,HOLYCROSS ENGLISH SCHOOL,4045
298,11020700102,PARSURAM MEMORIAL ACADEMY,4498
299,11020700104,SHANTI MEMORIAL ACADEMY,4955
300,11020700103,SUN RISE ENGLISH SCHOOL,4789
301,11020700105,SWARSWATI BAL VIDHALAYA,4032
302,11020500104,HIMALAYAN ACADEMY LUNGCHOK,4049
303,11020501002,MODEL ENGLISH SCHOOL,4762
304,11020500105,RRAGHUNANDA SAPKOTA MEMORIAL SCHOOL,4887
305,11020500103,UNITED ACADEMY SCHOOL DARAMDIN,4787
306,11020500303,HIMALAYAN RISING ACADEMY,4712
307,11020500210,LILLYFIELD ACADEMY,4205
308,11020500209,PRATAP INTERNATIONAL SCHOOL,4494
309,11020500208,SAI GURUKUL ACADEMY,4226
310,11020500203,SUNRISE ACADEMY SCHOOL,4693
311,11020500206,WOODSTOCK SCHOOL SOMBAREY,4469
312,11020400203,MOUNT KANCHAN ACADEMY,4730
313,11020400204,NEW WISDOM ACADEMY,4040
314,11020400202,ROSHAN MEMORIAL ACADEMY,4314
315,11020400604,ST. PAUL'S SCHOOL CHANGEY,4320
316,11020400602,SUN RISE ACADEMY,4382
317,11020401202,VINEYARD PRIVATE SCHOOL,4769
318,11020404301,MOUNT ZION ACADEMY HEE,4780
319,11020404302,POLE STAR ENGLISH SCHOOL HEE,4090
320,11020400402,BAL JYOTI VIDYA PITH,4589
321,11020403302,EUREKA RESIDENTIAL SCHOOL BRANCH II,4581
322,11020400802,KALEZ VALEY ENGLISH SCHOOL,4468
323,11020400502,P.M.M. U. SMART ACADEMY,4110
324,11020400505,SARASWATI VIDHYA ACADEMY,4494
325,11020400503,WESTERN MODERN ENGLISH SCHOOL,4988
326,11020103702,LITTLE KIDS ACADEMY,4436
327,11020112302,NEW TULIPS KINDERGARDEN,4676
328,11020100703,VISION ACADEMY DARAP,4115
329,11020112301,WESTERN MODERN SCHOOL,4363
330,11020111202,ANNE'S HOUSE NURSUARY SCHOOL,4153
331,11020111701,HIMALAYAN BAPTISE SCHOOL,4267
332,11020111205,MANJUSHREE ENGLISH SCHOOL,4432
333,11020111207,PIONEER ACADEMY GYALSHING,4908
334,11020100402,SARASWATI VIDYALAYA KYONGSHA,4768
335,11020111206,SKYLARK ACADEMY,4972
336,11020111901,ST MARRY'S CONVENT,4091
337,11020100403,St. EDMUND'S ACADEMY GURUTHANG,4407
338,11020111601,ANNES HOUSE LEGSHIP,4813
339,11020111602,VIDHYA SAGAR ACADEMY LEGSHIP,4665
340,11020102102,GREEN VALE LANGANG,4110
341,11020112401,I B SUBBA MEMORIAL INSTITUTE,4515
342,11020100254,DENZONG PEMA CHOELING ACADEMY,4676
343,11020111801,PIONEER ACADEMY SAKYONG,4255
344,11020113301,VIDHYA SAGAR JUNIOR HIGH SCHOOL,4378
345,11020303501,SNOWDROPS ACADEMY,4789
346,11020300905,DAUGHTER OF THE CROSS CONVENT SCHOOL,4128
347,11020300904,RAPHJORE ACADEMY,4779
348,11020300202,WEST POINT ACADEMY,4309
349,11020300102,NOBLE ENGLISH SCHOOL,4043
350,11020300305,BLISS ACADEMY,4480
351,11020300602,HILL BUDS ACADEMY,4111
352,11020300304,SHERAB ODSAL RAIDELLING ACADEMY,4754
353,11020300302,TRINITY SCHOOL SRIBADAM,4947
354,11020300303,WISDOM ACADEMY SRIBADAM,4618
355,11020212401,BAL JYOTI ACADEMY,4825
356,11020212101,GREEN VALLEY ACADEMEY,4204
357,11020200347,"GYAN JYOTI ACADEMY,BURIAKHOP",4906
358,11020214101,HILLS CROWN ENGLISH SCHOOL,4203
359,11020214301,MAGNOLIA ENGLISH SCHOOL,4324
360,11020212501,SIKKIM HIMALAYAN ACADEMY,4821
361,11020200402,"DEW DROPS ACADEMY,CHAKUNG",4422
362,11020212201,DON BOSCO MALBASEY,4221
363,11020200403,GRACE ACADEMY,4959
364,11020205102,GYANUDAYA ACADEMY MEMDOGOAN,4351
365,11020214201,"LITTLE ANGEL ACADEMY, PIPALAY",4586
366,11020213701,MT OLIVES ENGLISH SCHOOL,4089
367,11020200803,BLOOM ACADEMY,4204
368,11020200802,RAMAN HIDDEN VALLEY ACADEMY,4568
369,11020200604,WISE TEMPLE ACADEMY,4796
370,11020202702,ADONAI HOMES,4272
371,11020214801,MOUNT SINAI ACADEMY,4138
372,11020201102,SAINT GYANDIL ACADEMY,4655
373,11020202002,VIDYA BHARATI NAYABAZAR,4045
374,11020201403,"MODEL ENGLISH HOUSE,RESHI",4168
375,11020201402,SIKKIM HOMES ACADEMY,4845
376,11020200702,SPRINGDALE ACADEMY,4118
377,11020201404,SUNSHINE ACADEMY,4886
378,11020201303,ST.MARRY ACADEMY,4030
379,11020214002,DIVYA JYOTI ACADEMY,4660
380,11020214001,GYANODAYA NURSERY SCHOOL,4551
381,11020212302,HIMALAYAN ACADEMY SORENG,4958
382,11020213001,LELIUM ACADEMY SCHOOL,4953
383,11020212202,MARIGOLD ACADEMY MALBASEY,4449
384,11020200603,MOUNT K2 ACADEMY,4046
385,11020213002,RADIANT ACADEMY SCHOOL,4688
386,11020200602,TENDER FEET ACADEMY,4300
387,11020213801,KEN ENGLISH SCHOOL,4871
388,11020212702,KUSH HANG MEMORIAL ENGLISH SCHOOL,4577
389,11020212402,SARASWATI SISHU NIKETAN,4119
390,11020602203,BRIGHT CAREER ACHADEMY,4229
391,11020602202,MARIGOLD ACADAMY POKHARI DARA,4143
392,11020601402,MOUNT SIMVO BOARDING SCHOOL,4811
393,11020600202,MT. PENDAM ACADEMY,4769
394,11020603903,ANTASHKARAN CHILD ACHADAMY,4270
395,11020603902,GREEN LIGHT ACHADEMY,4299
396,11020600803,LABDANG ENGLISH SCHOOL,4406
397,11020603703,GOOD SHEPHERD ENGLISH SCHOOL,4602
398,11020603702,GOOD WILL ACADEMY THINGLING,4291
399,11020602302,I E C MISSION PRIMARY SCHOOL RIMBI,4574
400,11020602602,VIDHYA SAGAR GAYNPEATH TATHANG,4191
401,11020602902,HIMALAYAN RADIANT ACADEMY,4195
402,11020600502,MARIGOLD NURSERY SCHOOL,4044
403,11020600105,NEW HORIZON ACADEMCY TASHIDING,4287
404,11020600106,TASHIDING ENGLISH SCHOOL,4070
405,11020600403,GOOD SHEPHERD SCHOOL,4705
406,11020600404,LIFE VISION ACADEMY,4036
