Sr. No.,KV Name,Principal Name,Email Address,Website,State,District
17,KENDRIYA VIDYALAYA NO I MADURAI,MR. SELVARAJ P,ppl.maduraino1@kvs.gov.in,https://no1madurai.kvs.ac.in/,Tamil Nadu,Madurai
18,KENDRIYA VIDYALAYA IIT INDORE,Sh. MANOJ KUMAR (I/c),ppl.iitindore@kvs.gov.in,https://iitindore.kvs.ac.in/,Madhya Pradesh,Indore
19,KENDRIYA VIDYALAYA SER DANGOAPOSI,Mr. Bishwanath Hansdah (I/C) Principal,ppl.dangoaposi@kvs.gov.in,https://serdangoaposi.kvs.ac.in,Jharkhand,West Singbhum
20,KENDRIYA VIDYALAYA 5TH BN SSB CHAMPAWAT,MR. NARESH JINATA,ppl.ssbchampawat@kvs.gov.in,https://ssbchampawat.kvs.ac.in,Uttarakhand,Champawat
21,KENDRIYA VIDYALAYA SUMERPUR,SH. ANKUR TIWARI,ppl.sumerpur@kvs.gov.in,https://sumerpur.kvs.ac.in,Uttar Pradesh,Hamirpur
22,KENDRIYA VIDYALAYA MADHUPURI,"Sh. AMOD KUMAR, I/c PRINCIPAL",ppl.madhupuri@kvs.gov.in,https://madhupuri.kvs.ac.in,Uttar Pradesh,Fatehpur
23,KENDRIYA VIDYALAYA ALIRAJPUR,"SH. J P BOHRE, (I/C)",ppl.alirajpur@kvs.gov.in,https://alirajpur.kvs.ac.in,Madhya Pradesh,Madhya Pradesh
24,KENDRIYA VIDYALAYA NAYAGAON CRPF,"SH VINOD YADAV, I/C",ppl.crpfnayagaon@kvs.gov.in,https://crpfnayagaon.kvs.ac.in,Madhya Pradesh,Gwalior
25,KENDRIYA VIDYALAYA NAMSAI,MRS. P ASHA KRISHNA NAIR (I/c) PRINCIPAL,ppl.namsai@kvs.gov.in,https://namsai.kvs.ac.in,Arunachal Pradesh,Arunachal Pradesh
26,KENDRIYA VIDYALAYA DAPORIJO,RAM BARAN YADAV,ppl.daporijo@kvs.gov.in,https://daporijo.kvs.ac.in,Arunachal Pradesh,Arunachal Pradesh
27,KENDRIYA VIDYALAYA KODERMA,????????? ?????? ???? (??????? ?????????),ppl.kvkoderma@kvs.gov.in,https://koderma.kvs.ac.in,Jharkhand,Jharkhand
28,KENDRIYA VIDYALAYA SARAIKELA KHARSAWAN,???? ????? (??????? ???????),ppl.kvsaraikela@kvs.gov.in,https://saraikela.kvs.ac.in,Jharkhand,Jharkhand
29,KENDRIYA VIDYALAYA KONDAGAON,SH.KAMAL NARAYAN SINGH,ppl.kondagaon@kvs.gov.in,https://kondagaon.kvs.ac.in,Chhattisgarh,Chhattisgarh
30,KENDRIYA VIDYALAYA IIT PATNA,"DR. M H ANSARI, I/C",ppl.iitpatna@kvs.gov.in,https://iitpatna.kvs.ac.in,Bihar,Patna
31,KENDRIYA VIDYALAYA 59 BN SSB NANPARA BAHRAICH,"Dr. Geetesh Singh, VP CRPF LKO",ppl.59ssbnanpara@kvs.gov.in,https://bahraich.kvs.ac.in,Uttar Pradesh,Uttar Pradesh
32,KENDRIYA VIDYALAYA SSB CAMPUS GADANIA PALIA KALAN,Sh. Vijay Prakash,ppl.ssbgadania@kvs.gov.in,https://ssbpaliakalan.kvs.ac.in,Uttar Pradesh,Lakhimpur Kheri
33,KENDRIYA VIDYALAYA GC CRPF SILIGURI,"Mr.Vijay Singh Rajpurohit, PPL, I/C",ppl.gccrpfsguj@kvs.gov.in,https://crpfsiliguri.kvs.ac.in,West Bengal,Darjeeling
34,KENDRIYA VIDYALAYA BANDIKUI,SH. V S VERMA,ppl.bandikui@kvs.gov.in,https://bandikui.kvs.ac.in,Rajasthan,Dausa
35,KENDRIYA VIDYALAYA RANGAPARA NF RAILWAY,SH. B. N. PANDEY (I/C),ppl.rangaparanfr@kvs.gov.in,https://rangapara.kvs.ac.in,Assam,Sonitpur
36,KENDRIYA VIDYALAYA CRPF KADARPUR,Smt. Bharti Kumari,kvkadarpur@gmail.com,https://crpfkadarpur.kvs.ac.in/,Haryana,Gurgaon
37,KENDRIYA VIDYALAYA UDUMALPET,VACANT,ppl.udumalpet@kvs.gov.in,https://udumalpet.kvs.ac.in,Tamil Nadu,Tamil Nadu
38,KENDRIYA VIDYALAYA ANANDAPUR,SUSHANTA KUMAR SETHY,ppl.anandpur@kvs.gov.in,https://anandapur.kvs.ac.in,Odisha,keonjhar
39,KENDRIYA VIDYALAYA AGAR MALWA,SH. ATUL VYAS(I/c Principal),ppl.agarmalwa@kvs.gov.in,https://agarmalwa.kvs.ac.in,Madhya Pradesh,Madhya Pradesh
40,KENDRIYA VIDYALAYA SHAMGARH,"Sh. ANKUSH, I/C",ppl.shamgarh@kvs.gov.in,https://shamgarh.kvs.ac.in,Madhya Pradesh,Mandsaur
41,KENDRIYA VIDYALAYA YESHWANTHPUR RAILWAY,Principal (I/C),ppl.yeshwanthpur@kvs.gov.in,https://yeshwanthpurrly.kvs.ac.in,Karnataka,Bangalore Urban
42,KENDRIYA VIDYALAYA RAILWAY IDGAH AGRA,Mrs Archana Khandelwal,ppl.railwayidgah@kvs.gov.in,https://railwayidgah.kvs.ac.in,Uttar Pradesh,Agra
43,KENDRIYA VIDYALAYA NFR NEW JALPAIGURI,"Mr. U.M. Yadav, Principal I/C",ppl.njp@kvs.gov.in,https://newjalpaiguri.kvs.ac.in,West Bengal,Jalpaiguri
44,KENDRIYA VIDYALAYA CRPF BILASPUR,Shri Dhirendra Kumar Jha,crpfbilaspurkv@gmail.com,https://gccrpfbilaspur.kvs.ac.in/,Chhattisgarh,Bilaspur
45,KENDRIYA VIDYALAYA DODA JODHPUR,RAJEEV MAHAJAN,ppl.jodhpurbelna@kvs.gov.in,https://dodajodhpur.kvs.ac.in/,Jammu & Kashmir,Jodhpur
46,KENDRIYA VIDYALAYA ANUPPUR,Smt. Preeti Mishra,ppl.anuppur@kvs.gov.in,https://anuppur.kvs.ac.in,Madhya Pradesh,Annuppur
47,KENDRIYA VIDYALAYA IRLAPADU,S. Anand (In-Charge),ppl.irlapadu@kvs.gov.in,https://Irlapadu.kvs.ac.in,Andhra Pradesh,Guntur
48,KENDRIYA VIDYALAYA KANDUKUR TOWN,T.Venkateswarlu (In-Charge),ppl.kvkandukur@kvs.gov.in,https://kandukurtown.kvs.ac.in/,Andhra Pradesh,kandukur
49,KENDRIYA VIDYALAYA 210 COBRA CRPF,SH. MOOL SINGH SHEKHAWAT,ppl.cobracrpf210@kvs.gov.in,https://210cobracrpf.kvs.ac.in/,Assam,Dalgaon
50,KENDRIYA VIDYALAYA GC CRPF SONEPAT,Aman Gupta,kvgccrpfsonipat@gmail.com,https://gccrpfsonepat.kvs.ac.in/,Haryana,Sonipat
51,KENDRIYA VIDYALAYA DR. RAJENDRA PRASAD,DR. Charu Sharma,ppl.drrajendra@kvs.gov.in,https://drrajendraprasadpe.kvs.ac.in/,Delhi,Central Delhi
52,KENDRIYA VIDYALAYA GUNUPUR,HARIHAR PANDA (I/C),ppl.gunupur@kvs.gov.in,https://gunupur.kvs.ac.in/,Odisha,Gunupur
53,KENDRIYA VIDYALAYA KATHMANDU,KV Kathmandu Principal,principalkvkathmandu@gmail.com,https://www.kvkathmandu.net/,,
54,KENDRIYA VIDYALAYA MOSCOW,A A ISRAEL,principalkvm@mail.ru,,,
55,KENDRIYA VIDYALAYA TEHRAN,Dr. S. S. Dakua,kvtehran@yahoo.com,https://www.kvtehran.ir,,
56,KENDRIYA VIDYALAYA ALIGARH,Sh Ashok Kumar Singh,ppl.aligarh@kvs.gov.in,https://aligarh.kvs.ac.in/,Uttar Pradesh,Aligarh
57,KENDRIYA VIDYALAYA MIRZAPUR,"??????? ?????? ??????, ?? ?????????",ppl.mirzapur@kvs.gov.in,https://mirzapur.kvs.ac.in,Uttar Pradesh,Mirzapur
58,KENDRIYA VIDYALAYA MIRZAPUR,"Mrs. Rupali Parihar, VP",ppl.mirzapur@kvs.gov.in,https://mirzapur.kvs.ac.in,Uttar Pradesh,Mirzapur
59,KENDRIYA VIDYALAYA AMHAT. SULTANPUR,K P YADAV,ppl.amhatsultanpur@kvs.gov.in,https://amhat.kvs.ac.in,Uttar Pradesh,Sultanpur
60,KENDRIYA VIDYALAYA No.I GORAKHPUR,SH. SANJAY KUMAR SRIVASTAVA,ppl.gorakhpurnoiafs@kvs.gov.in,https://no1gorakhpur.kvs.ac.in,Uttar Pradesh,Gorakhpur
61,KENDRIYA VIDYALAYA VARANASI CANTT,Sh. BARRISTER PANDEY,ppl.varanasicant@kvs.gov.in,https://gtcvaranasi.kvs.ac.in,Uttar Pradesh,Varanasi
62,KENDRIYA VIDYALAYA KHATIMA,Sh. Ramesh Chand,ppl.khatima@kvs.gov.in,https://khatima.kvs.ac.in,Uttarakhand,Udham Singh Nagar
63,KENDRIYA VIDYALAYA MYSORE,Sri. M MANOHARAN,ppl.mysore@kvs.gov.in,https://mysore.kvs.ac.in,Karnataka,Mysore
64,KENDRIYA VIDYALAYA DIU,Praveen Kumar,ppl.diuadi@kvs.gov.in,https://diu.kvs.ac.in,DAMAN & DIU,Daman & Diu
65,KENDRIYA VIDYALAYA BAOLI BAGHPAT,NEERAJ KUMAR (Grade-II),ppl.baoli@kvs.gov.in,https://baolibaghpat.kvs.ac.in,Uttar Pradesh,Baghpat
66,KENDRIYA VIDYALAYA OEF HAZARATPUR,RAMESH CHANDRA,ppl.hazaratpuroef@kvs.gov.in,https://oefhazaratpur.kvs.ac.in,Uttar Pradesh,Ferozabad
67,KENDRIYA VIDYALAYA NO.III AGRA CANTT,MRS. NEETU VERMA,ppl.agracanttno3@kvs.gov.in,https://no3agracantt.kvs.ac.in,Uttar Pradesh,Agra
68,KENDRIYA VIDYALAYA GHAZIABAD,Smt. Husna Bano,ppl.vkvgaziabad@kvs.gov.in,https://ghaziabad.kvs.ac.in,Uttar Pradesh,Ghaziabad
69,KENDRIYA VIDYALAYA MURAD NAGAR,VIJAY PAL SINGH,ppl.muradnagar@kvs.gov.in,https://muradnagar.kvs.ac.in,Uttar Pradesh,Ghaziabad
70,KENDRIYA VIDYALAYA LALITPUR,SATISH KUMAR SHARMA,ppl.lalitpur@kvs.gov.in,https://lalitpur.kvs.ac.in,Uttar Pradesh,Lalitpur
71,KENDRIYA VIDYALAYA NTPC DADRI,Sh A.K.Gupta,ppl.dadrintpc@kvs.gov.in,https://ntpcdadri.kvs.ac.in,Uttar Pradesh,Gautam Budh Nagar
72,KENDRIYA VIDYALAYA NO.II AGRA CANTT,SUDHAKARAN P V,PPL.AGRACANTTNO2@KVS.GOV.IN,https://no2agracantt.kvs.ac.in,Uttar Pradesh,Agra
73,KENDRIYA VIDYALAYA NOIDA,Mukesh Kumar Garg,ppl.noida@kvs.gov.in,https://noida.kvs.ac.in,Uttar Pradesh,Gautam Budh Nagar
74,KENDRIYA VIDYALAYA CRPF RAMPUR,Shri Chandra Mohan Singh I/C (VP),ppl.rampurcrpf@kvs.gov.in,https://crpframpur.kvs.ac.in,Uttar Pradesh,Rampur
75,KENDRIYA VIDYALAYA MAHOBA,MS.RAJ KUMARI NIGAM,ppl.mahoba@kvs.gov.in,https://mahoba.kvs.ac.in,Uttar Pradesh,Mahoba
76,KENDRIYA VIDYALAYA NO. I JHANSI CANTT,DR.(Miss) SONU RAI,ppl.jhansicantno1@kvs.gov.in,https://no1jhansicantt.kvs.ac.in,Uttar Pradesh,Jhansi
77,KENDRIYA VIDYALAYA BULANDSHAHAR,MR. S.P. SINGH,ppl.bulandshahar@kvs.gov.in,https://bulandshahar.kvs.ac.in,Uttar Pradesh,Bulandshahar
78,KENDRIYA VIDYALAYA BABINA CANTT,Satpal Kulhari I/C,ppl.babinacant@kvs.gov.in,https://babinacantt.kvs.ac.in,Uttar Pradesh,Jhansi
79,KENDRIYA VIDYALAYA SL MEERUT CANTT,NAVAL SINGH,ppl.meerutcantsl@kvs.gov.in,https://slmeerutcantt.kvs.ac.in,Uttar Pradesh,Meerut
80,KENDRIYA VIDYALAYA TALBEHAT,Dharmendra Bharadwaj I/C (VP),ppl.talbehat@kvs.gov.in,https://talbehat.kvs.ac.in,Uttar Pradesh,Lalitpur
81,KENDRIYA VIDYALAYA NO. I MORADABAD,VIJESH KUMAR,ppl.moradabad@kvs.gov.in,https://no1moradabad.kvs.ac.in,Uttar Pradesh,Moradabad
82,KENDRIYA VIDYALAYA NO. III JHANSI CANTT,Shri S C Shrivastava,ppl.jhansicantno3@kvs.gov.in,https://no3jhansicantt.kvs.ac.in,Uttar Pradesh,Jhansi
83,KENDRIYA VIDYALAYA BABUGARH CANTT.,Sushil Gurjar I/C,ppl.babugarhcant@kvs.gov.in,https://babugarhcantt.kvs.ac.in,Uttar Pradesh,Panchsheel Nagar
84,KENDRIYA VIDYALAYA (AFS) NO.I AGRA CANTT,RAJESH PANDEY,ppl.agracanttno1@kvs.gov.in,https://no1agracantt.kvs.ac.in,Uttar Pradesh,Agra
85,KENDRIYA VIDYALAYA HATHRAS,MR NARESH KUMAR SINGH SHELOT,ppl.hathras@kvs.gov.in,https://hathras.kvs.ac.in,Uttar Pradesh,Mahamaya Nagar
86,KENDRIYA VIDYALAYA NO. II JHANSI CANTT,Devendra Singh Shekhawat I/C (VP),ppl.jhansicantno2@kvs.gov.in,https://no2jhansicantt.kvs.ac.in,Uttar Pradesh,Jhansi
87,KENDRIYA VIDYALAYA ETAH,Dr. Sachin Jain I/C ( VP),ppl.etah@kvs.gov.in,https://etah.kvs.ac.in,Uttar Pradesh,Etah
88,KENDRIYA VIDYALAYA AFS CHANDI NAGAR,B. GAYATHRI,ppl.bagpatafs@KVS.gov.in,https://afschandinagar.kvs.ac.in/,Uttar Pradesh,Baghpat
89,KENDRIYA VIDYALAYA MUZAFFAR NAGAR,Shri Brijeshpal Singh,ppl.muzaffarnagar@kvs.gov.in,https://muzaffarnagar.kvs.ac.in/,Uttar Pradesh,Muzaffar Nagar
90,KENDRIYA VIDYALAYA AFS SARSAWA,Kavita Bijarniya I/C (VP),ppl.sarsawaafs@kvs.gov.in,https://sarsawa.kvs.ac.in,Uttar Pradesh,Saharanpur
91,KENDRIYA VIDYALAYA PL MEERUT CANTT,Smt Laxmi Singh,ppl.meerutcantpl@kvs.gov.in,https://plmeerutcantt.kvs.ac.in/,Uttar Pradesh,Meerut
92,KENDRIYA VIDYALAYA ETAWA,LAL BAHADUR SHARMA,ppl.etawa@kvs.gov.in,https://etawa.kvs.ac.in/,Uttar Pradesh,Etawa
93,KENDRIYA VIDYALAYA NO.II HINDON,Mrs. Jyoti Pandey,ppl.hindonno2afs@kvs.gov.in,https://no2hindon.kvs.ac.in/,Uttar Pradesh,Ghaziabad
94,KENDRIYA VIDYALAYA MATHURA BAAD,NEELIMA SONI,ppl.mathurabaad@kvs.gov.in,https://mathurabaad.kvs.ac.in/,Uttar Pradesh,Mathura
95,KENDRIYA VIDYALAYA PARBHANI,MR. H R CHOUDHARY,ppl.parbhani@kvs.gov.in,https://parbhani.kvs.ac.in,Maharashtra,Parbhani
96,KENDRIYA VIDYALAYA WASHIM,MR. ABDUL HASEEB KHAN,ppl.washimdiet@kvs.gov.in,https://washim.kvs.ac.in,Maharashtra,Washim
97,KENDRIYA VIDYALAYA AAYER VARANASI,"Sh. Abhishek Tripathi, VP",ppl.aayervaransi@kvs.gov.in,https://aayervaranasi.kvs.ac.in,Uttar Pradesh,Varanasi
98,KENDRIYA VIDYALAYA BHADOHI,"Sh. Ashutosh Pandey, VP",ppl.bhadohi@kvs.gov.in,https://bhadohi.kvs.ac.in,Uttar Pradesh,Bhadohi
99,KENDRIYA VIDYALAYA KAUHAR AMETHI,"Sh. Shailendra Kumar, VP",ppl.amhatsultanpur@kvs.gov.in,https://amethi.kvs.ac.in,Uttar Pradesh,Amethi
100,KENDRIYA VIDYALAYA CHAKPIKARONG,CHANDRA SHEKHAR TIWARI,ppl.chakpikarong@kvs.gov.in,https://chakpikarong.kvs.ac.in,Manipur,Chandel
101,KENDRIYA VIDYALAYA TARKESWAR,"Mr. Dinkar Kumar, Principal I/C",ppl.tarkeswar@kvs.gov.in,https://tarkeswar.kvs.ac.in,West Bengal,Hooghly
102,KENDRIYA VIDYALAYA NO.I SALT LAKE,Mr. Sudhanya Karan,ppl.saltlakeno1@kvs.gov.in,https://no1saltlake.kvs.ac.in,West Bengal,24 Parganas (North)
103,KENDRIYA VIDYALAYA SANTRAGACHI,Mr. R.C. Pandey,ppl.santragachi@kvs.gov.in,https://santragachi.kvs.ac.in,West Bengal,Howrah
104,KENDRIYA VIDYALAYA (IOC) HALDIA,Dr. Hitendra Pratap Singh,ppl.haldiaioc@kvs.gov.in,https://haldiaioc.kvs.ac.in,West Bengal,Midnapore (East)
105,KENDRIYA VIDYALAYA ASANSOL,Mr. Santosh Soni,ppl.asansol@kvs.gov.in,https://asansol.kvs.ac.in,West Bengal,Burdwan
106,KENDRIYA VIDYALAYA NO.III COLABA,MS. LAKSHMI NEGI,ppl.colabano3@kvs.gov.in,https://no3colaba.kvs.ac.in,Maharashtra,Mumbai city
107,KENDRIYA VIDYALAYA (ARMY) BARRACKPORE,Mr. C.S. Bisht,ppl.barrackporearmy@kvs.gov.in,https://armybarrackpore.kvs.ac.in,West Bengal,24 parganas (south)
108,KENDRIYA VIDYALAYA NO.II COLABA,MRS. PRAMILA PAL,ppl.colabano2@kvs.gov.in,https://no2colaba.kvs.ac.in,Maharashtra,Mumbai city
109,KENDRIYA VIDYALAYA NADIA (RANAGHAT),"Mr. Shambhu Rajak, PGT (Bio.) & Principal I/C",ppl.ranaghat@kvs.gov.in,https://ranaghat.kvs.ac.in,West Bengal,Nadia
110,KENDRIYA VIDYALAYA SEVOKE ROAD,"Ms. Sarin Kazi, V.P. & Principal I/C",ppl.sevokroad@kvs.gov.in,https://sevokeroad.kvs.ac.in,West Bengal,Jalpaiguri
111,KENDRIYA VIDYALAYA MIAON,PRABHU NATH SINGH,ppl.miao@kvs.gov.in,https://miao.kvs.ac.in,Arunachal Pradesh,Changlang
112,KENDRIYA VIDYALAYA(LAMPHELPAT)NO.I IMPHAL,HARI RAJ SINGH,ppl.imphalno1@kvs.gov.in,https://no1imphal.kvs.ac.in,Manipur,Imphal East
113,KENDRIYA VIDYALAYA LONGDING,NEERAJ KUMAR SRIVASTAVA,ppl.longding@kvs.gov.in,https://longding.kvs.ac.in,Arunachal Pradesh,Arunachal Pradesh
114,KENDRIYA VIDYALAYA (OIL)DULIAJAN,RAJIB DAS,ppl.duliajanoil@kvs.gov.in,https://duliajan.kvs.ac.in,Assam,Dibrugarh
115,KENDRIYA VIDYALAYA BASTI,Sh. Mayank Kumar Srivastava VP (Incharge),ppl.basti@kvs.gov.in,https://basti.kvs.ac.in,Uttar Pradesh,Basti
116,KENDRIYA VIDYALAYA (CRPF)LARIE HILL KOHIMA,SANTOSH KUMAR ROY,ppl.kohimacrpf@kvs.gov.in,https://crpfkohima.kvs.ac.in,Nagaland,Kohima
117,KENDRIYA VIDYALAYA NO.II SALT LAKE,Mr. Ashutosh Kumar Jha,ppl.saltlakeno2@kvs.gov.in,https://no2saltlake.kvs.ac.in,West Bengal,24 Parganas (North)
118,KENDRIYA VIDYALAYA TULI,MR. MAHENDRA PAL,ppl.tuli@kvs.gov.in,https://tuli.kvs.ac.in,Nagaland,Mokokchung
119,KENDRIYA VIDYALAYA DIBRUGARH,FAGU SINGH MUNDA,ppl.dibrugarh@kvs.gov.in,https://dibrugarh.kvs.ac.in,Assam,Dibrugarh
120,KENDRIYA VIDYALAYA BIRBHUM,"Mr. Mukesh Kumar Keshri, Principal I/C",ppl.birbhum@kvs.gov.in,https://birbhum.kvs.ac.in,West Bengal,Birbhum
121,KENDRIYA VIDYALAYA COD CHHEOKI,Sh. Vinay Kumar Tripathi,ppl.allahabadchheoki@kvs.gov.in,https://chheoki.kvs.ac.in,Uttar Pradesh,Allahabad
122,KENDRIYA VIDYALAYA TAWANG,ARUN KUMAR,ppl.tawang@kvs.gov.in,https://tawang.kvs.ac.in,Arunachal Pradesh,Tawang
123,KENDRIYA VIDYALAYA TENGA VALLEY,RAM KISHORE MEENA,ppl.tengavalley@kvs.gov.in,https://tengavalley.kvs.ac.in,Arunachal Pradesh,West Kameng
124,KENDRIYA VIDYALAYA (AFS) NO.II DEVLALI,MS. VIMALA SRINIVASAN,ppl.devlalino2afs@kvs.gov.in,https://no2afsdevlali.kvs.ac.in,Maharashtra,Nasik
125,KENDRIYA VIDYALAYA MAU,DR.(SMT.) KIRAN BALA,ppl.maubsb@kvs.gov.in,https://mau.kvs.ac.in,Uttar Pradesh,Mau
126,KENDRIYA VIDYALAYA KALIMPONG (DURBIN),Mr. Amit Kumar Panigrahi,ppl.kalimpong@kvs.gov.in,https://kalimpong.kvs.ac.in,West Bengal,Darjeeling
127,KENDRIYA VIDYALAYA CRPF ALLAHABAD,Sh. Govind Dubey,ppl.phaphamaucrpf@kvs.gov.in,https://crpfallahabad.kvs.ac.in,Uttar Pradesh,Allahabad
128,KENDRIYA VIDYALAYA CME PUNE,MRS SANGEETA GUTAIN,ppl.punecme@kvs.gov.in,https://cmepune.kvs.ac.in,Maharashtra,Maharashtra
129,KENDRIYA VIDYALAYA.AZAMGARH,SHRI Vishal Khare (Incharge),ppl.azamgarh@kvs.gov.in,https://azamgarh.kvs.ac.in,Uttar Pradesh,Azamgarh
130,KENDRIYA VIDYALAYA DIRANG,K. RAMAMURTHY,ppl.dirang@kvs.gov.in,https://dirang.kvs.ac.in,Arunachal Pradesh,West Kameng
131,KENDRIYA VIDYALAYA MANAURI ALLAHABAD,DR.Shalini Dikshit,ppl.allahabadmanauri@kvs.gov.in,https://manauri.kvs.ac.in,Uttar Pradesh,Allahabad
132,KENDRIYA VIDYALAYA DEORIA,Sh. K. Prasad,ppl.deoria@kvs.gov.in,https://deoria.kvs.ac.in,Uttar Pradesh,Deoria
133,KENDRIYA VIDYALAYA (LEIMAKHONG)NO III IMPHAL,BIPLAB SARKAR,ppl.imphalno3@kvs.gov.in,https://no3imphal.kvs.ac.in,Manipur,Senapati
134,KENDRIYA VIDYALAYA TUTING,ROBIN GUPTA,ppl.tuting@kvs.gov.in,https://tuting.kvs.ac.in,Arunachal Pradesh,Uppar Siang
135,KENDRIYA VIDYALAYA No. I ITANAGAR,Mr. Biswajit Saha,ppl.itanagarno1@kvs.gov.in,https://no1itanagar.kvs.ac.in,Arunachal Pradesh,Papumpare
136,KENDRIYA VIDYALAYA (CRPF)NO.II IMPHAL,K. ALUNG KHUMBA,ppl.imphalno2@kvs.gov.in,https://no2imphal.kvs.ac.in,Manipur,Imphal East
137,KENDRIYA VIDYALAYA UKHRUL,KHUSHI RAM,ppl.ukhrul@kvs.gov.in,https://ukhrul.kvs.ac.in,Manipur,Ukhrul
138,KENDRIYA VIDYALAYA ROING,DEEPAK KUMAR,ppl.roing@kvs.gov.in,https://roing.kvs.ac.in,Arunachal Pradesh,Lower Dibang
139,KENDRIYA VIDYALAYA MOHANBARI,SHIV KUMAR SINGH,ppl.mohanbari@kvs.gov.in,https://mohanbari.kvs.ac.in,Assam,Dibrugarh
140,KENDRIYA VIDYALAYA TAMENGLONG,DR. K MURUGESHWARAN,ppl.temenglong@kvs.gov.in,https://tamenglong.kvs.ac.in,Manipur,Tamenglong
141,KENDRIYA VIDYALAYA AKAMPAT,ARUN KUMAR,ppl.akampat@kvs.gov.in,https://akampat.kvs.ac.in,Manipur,Imphal East
142,KENDRIYA VIDYALAYA (WCL)NEW MAJARI,VACANT,ppl.newmajariwcl@kvs.gov.in,https://newmajari.kvs.ac.in,Maharashtra,Maharashtra
143,KENDRIYA VIDYALAYA (CRPF)DIMAPUR,UMESH CHANDRA,ppl.dimapurcrpf@kvs.gov.in,https://dimapur.kvs.ac.in,Nagaland,Dimapur
144,KENDRIYA VIDYALAYA NTPC SHAKTINAGAR,Sh. RAVEENDRA RAM,ppl.shaktinagarntpc@kvs.gov.in,https://ntpcshaktinagar.kvs.ac.in,Uttar Pradesh,Sonebhadra
145,KENDRIYA VIDYALAYA SIDHARTH NAGAR,DR. RAVINDRA PRATAP SINGH,ppl.siddharthnagar@kvs.gov.in,https://sidharthnagar.kvs.ac.in,Uttar Pradesh,Sidharth Nagar
146,KENDRIYA VIDYALAYA RANGAPAHAR CANTT,M K TEWARI,ppl.rangapaharcant@kvs.gov.in,https://rangapahar.kvs.ac.in,Nagaland,Dimapur
147,KENDRIYA VIDYALAYA (BHU)VARANASI,DR. DIWAKAR SINGH,ppl.varanasibhu@kvs.gov.in,https://bhuvaranasi.kvs.ac.in,Uttar Pradesh,Varanasi
148,KENDRIYA VIDYALAYA DINJAN,PHANI BHUSHAN PANDEY,ppl.dinjan@kvs.gov.in,https://dinjan.kvs.ac.in,Assam,Dibrugarh
